movement_core,variant_count,example_names,fx_categories,curated_missing_match,example_primary_muscles,example_equipment,example_mechanic,example_level,mapped_category
reverse crunch,2,Cable Reverse Crunch; Reverse Crunch,strength,,abdominals,cable,isolation,beginner,isolation
clean jerk,2,Clean and Jerk; One-Arm Kettlebell Clean and Jerk,"olympic weightlifting,strength",,shoulders,barbell,compound,expert,compound
crunches,2,Crunches; Weighted Crunches,strength,,abdominals,body only,isolation,beginner,isolation
decline press,2,Decline Smith Press; Smith Machine Decline Press,strength,,chest,machine,compound,beginner,compound
rear lateral raise,2,Dumbbell Lying One-Arm Rear Lateral Raise; Dumbbell Lying Rear Lateral Raise,strength,,shoulders,dumbbell,isolation,intermediate,isolation
raise,2,Dumbbell Raise; Single Dumbbell Raise,strength,,shoulders,dumbbell,compound,beginner,compound
flat bench pull in,2,Flat Bench Leg Pull-In; Seated Flat Bench Leg Pull-In,strength,,abdominals,body only,compound,beginner,compound
glute ham raise,2,Floor Glute-Ham Raise; Glute Ham Raise,"powerlifting,strength",Glute-Ham Raise,hamstrings,,isolation,intermediate,isolation
hamstring stretch,2,Hamstring Stretch; Seated Floor Hamstring Stretch,stretching,,hamstrings,,isolation,beginner,mobility
pistol squat,2,Kettlebell Pistol Squat; Smith Machine Pistol Squat,strength,Pistol Squat,quadriceps,kettlebells,compound,expert,compound
kneeling pulley row,2,Kneeling High Pulley Row; Kneeling Single-Arm High Pulley Row,strength,,lats,cable,compound,beginner,compound
lift,2,Leg Lift; Standing Cable Lift,strength,,glutes,body only,isolation,beginner,isolation
crossover,2,Lying Crossover; Single-Arm Cable Crossover,"strength,stretching",,abductors,body only,,expert,mobility
glute,2,Lying Glute; Seated Glute,stretching,,glutes,body only,,expert,mobility
hamstring,2,Lying Hamstring; Seated Hamstring,stretching,,hamstrings,other,,expert,mobility
rear delt raise,2,Lying Rear Delt Raise; Seated Bent-Over Rear Delt Raise,strength,,shoulders,dumbbell,isolation,intermediate,isolation
triceps press,2,Lying Triceps Press; Seated Triceps Press,strength,,triceps,e-z curl bar,isolation,intermediate,isolation
oblique crunches,2,Oblique Crunches; Oblique Crunches - On The Floor,strength,,abdominals,body only,isolation,beginner,isolation
jerk,2,One-Arm Kettlebell Jerk; Two-Arm Kettlebell Jerk,strength,,shoulders,kettlebells,compound,intermediate,compound
snatch,2,One-Arm Kettlebell Snatch; Snatch,"olympic weightlifting,strength",Snatch,shoulders,kettlebells,compound,expert,compound
split jerk,2,One-Arm Kettlebell Split Jerk; Split Jerk,"olympic weightlifting,strength",,shoulders,kettlebells,compound,intermediate,compound
split snatch,2,One-Arm Kettlebell Split Snatch; Split Snatch,"olympic weightlifting,strength",,shoulders,kettlebells,compound,expert,compound
open palm clean,2,One-Arm Open Palm Kettlebell Clean; Open Palm Kettlebell Clean,strength,,hamstrings,kettlebells,compound,intermediate,compound
overhead stretch,2,Overhead Stretch; Seated Overhead Stretch,stretching,,abdominals,,compound,beginner,mobility
palms down wrist curl bench,2,Palms-Down Dumbbell Wrist Curl Over A Bench; Palms-Down Wrist Curl Over A Bench,strength,,forearms,dumbbell,isolation,beginner,isolation
palms up wrist curl bench,2,Palms-Up Barbell Wrist Curl Over A Bench; Palms-Up Dumbbell Wrist Curl Over A Bench,strength,,forearms,barbell,isolation,beginner,isolation
twist,2,Plate Twist; Seated Barbell Twist,strength,,abdominals,other,compound,intermediate,compound
straight pulldown,2,Rope Straight-Arm Pulldown; Straight-Arm Pulldown,strength,,lats,cable,isolation,beginner,isolation
concentration curl,2,Seated Close-Grip Concentration Barbell Curl; Standing Concentration Curl,strength,Concentration Curl,biceps,barbell,isolation,intermediate,isolation
inner biceps curl,2,Seated Dumbbell Inner Biceps Curl; Standing Inner-Biceps Curl,strength,,biceps,dumbbell,isolation,beginner,isolation
palms up wrist curl,2,Seated Dumbbell Palms-Up Wrist Curl; Seated One-Arm Dumbbell Palms-Up Wrist Curl,strength,,forearms,dumbbell,isolation,beginner,isolation
hamstring calf stretch,2,Seated Hamstring and Calf Stretch; Standing Hamstring and Calf Stretch,stretching,,hamstrings,other,,intermediate,mobility
supine overhead throw,2,Supine One-Arm Overhead Throw; Supine Two-Arm Overhead Throw,plyometrics,,abdominals,medicine ball,compound,beginner,plyometric
3 4 sit up,1,3/4 Sit-Up,strength,,abdominals,body only,compound,beginner,compound
90 90 hamstring,1,90/90 Hamstring,stretching,,hamstrings,body only,,beginner,mobility
ab crunch,1,Ab Crunch Machine,strength,,abdominals,machine,isolation,intermediate,isolation
adductor,1,Adductor,stretching,,adductors,foam roll,isolation,intermediate,mobility
adductor groin,1,Adductor/Groin,stretching,,adductors,,,intermediate,mobility
advanced windmill,1,Advanced Kettlebell Windmill,strength,,abdominals,kettlebells,isolation,intermediate,isolation
all fours quad stretch,1,All Fours Quad Stretch,stretching,,quadriceps,body only,,intermediate,mobility
heel touchers,1,Alternate Heel Touchers,strength,,abdominals,body only,isolation,beginner,isolation
diagonal bound,1,Alternate Leg Diagonal Bound,plyometrics,,quadriceps,,compound,beginner,plyometric
deltoid raise,1,Alternating Deltoid Raise,strength,,shoulders,dumbbell,isolation,beginner,isolation
renegade row,1,Alternating Renegade Row,strength,Renegade Row,middle back,kettlebells,compound,expert,compound
ankle knee,1,Ankle On The Knee,stretching,,glutes,,,beginner,mobility
anterior tibialis smr,1,Anterior Tibialis-SMR,stretching,,calves,other,,intermediate,mobility
anti gravity press,1,Anti-Gravity Press,strength,,shoulders,barbell,compound,beginner,compound
circles,1,Arm Circles,stretching,,shoulders,,isolation,beginner,mobility
around worlds,1,Around The Worlds,strength,,chest,dumbbell,compound,intermediate,compound
atlas stone trainer,1,Atlas Stone Trainer,strongman,,lower back,other,compound,intermediate,compound
atlas stones,1,Atlas Stones,strongman,,lower back,other,compound,expert,compound
axle deadlift,1,Axle Deadlift,strongman,,lower back,other,compound,intermediate,compound
back flyes,1,Back Flyes - With Bands,strength,,shoulders,bands,compound,beginner,compound
backward drag,1,Backward Drag,strongman,,quadriceps,other,compound,beginner,compound
backward medicine ball throw,1,Backward Medicine Ball Throw,plyometrics,,shoulders,medicine ball,compound,beginner,plyometric
ball curl,1,Ball Leg Curl,strength,,hamstrings,exercise ball,isolation,beginner,isolation
good morning pull through,1,Band Good Morning (Pull Through),powerlifting,,hamstrings,bands,compound,beginner,compound
hip adductions,1,Band Hip Adductions,strength,,adductors,bands,isolation,beginner,isolation
ab rollout,1,Barbell Ab Rollout,strength,Ab Rollout,abdominals,barbell,compound,intermediate,compound
ab rollout knees,1,Barbell Ab Rollout - On Knees,strength,Ab Rollout,abdominals,barbell,compound,expert,compound
bench press medium,1,Barbell Bench Press - Medium Grip,strength,,chest,barbell,compound,beginner,compound
curls against an incline,1,Barbell Curls Lying Against An Incline,strength,,biceps,barbell,isolation,beginner,isolation
guillotine bench press,1,Barbell Guillotine Bench Press,strength,,chest,barbell,compound,intermediate,compound
incline bench press medium,1,Barbell Incline Bench Press - Medium Grip,strength,,chest,barbell,compound,beginner,compound
rear delt row,1,Barbell Rear Delt Row,strength,,shoulders,barbell,compound,beginner,compound
rollout from bench,1,Barbell Rollout from Bench,strength,,abdominals,barbell,compound,intermediate,compound
shrug behind back,1,Barbell Shrug Behind The Back,strength,,traps,barbell,isolation,beginner,isolation
side split squat,1,Barbell Side Split Squat,strength,,quadriceps,barbell,compound,beginner,compound
battling ropes,1,Battling Ropes,strength,,shoulders,other,compound,beginner,compound
bear crawl drags,1,Bear Crawl Sled Drags,strongman,,quadriceps,other,compound,beginner,compound
behind head chest stretch,1,Behind Head Chest Stretch,stretching,,chest,other,isolation,expert,mobility
bench dips,1,Bench Dips,strength,,triceps,body only,compound,beginner,compound
bench jump,1,Bench Jump,plyometrics,,quadriceps,body only,compound,intermediate,plyometric
bench press powerlifting,1,Bench Press - Powerlifting,powerlifting,,triceps,barbell,compound,intermediate,compound
bench press chains,1,Bench Press with Chains,powerlifting,,triceps,barbell,compound,expert,compound
bench sprint,1,Bench Sprint,plyometrics,,quadriceps,other,compound,beginner,plyometric
knee hip raise,1,Bent-Knee Hip Raise,strength,,abdominals,body only,compound,beginner,compound
rear delt raise head bench,1,Bent Over Dumbbell Rear Delt Raise With Head On Bench,strength,,shoulders,dumbbell,isolation,beginner,isolation
pulley side lateral,1,Bent Over Low-Pulley Side Lateral,strength,,shoulders,cable,isolation,beginner,isolation
row palms in,1,Bent Over Two-Dumbbell Row With Palms In,strength,,middle back,dumbbell,compound,beginner,compound
bicycling,1,Bicycling,cardio,,quadriceps,other,,beginner,cardio
bicycling stationary,1,"Bicycling, Stationary",cardio,,quadriceps,machine,,beginner,cardio
board press,1,Board Press,powerlifting,,triceps,barbell,compound,intermediate,compound
up,1,Body-Up,strength,,triceps,body only,isolation,intermediate,isolation
tricep press,1,Body Tricep Press,strength,,triceps,body only,isolation,beginner,isolation
mid row,1,Bodyweight Mid Row,strength,,middle back,other,compound,intermediate,compound
bosu ball crunch side bends,1,Bosu Ball Cable Crunch With Side Bends,strength,,abdominals,cable,isolation,beginner,isolation
bottoms up clean from hang position,1,Bottoms-Up Clean From The Hang Position,strength,,forearms,kettlebells,compound,intermediate,compound
bottoms up,1,Bottoms Up,strength,,abdominals,body only,compound,beginner,compound
box jump multiple response,1,Box Jump (Multiple Response),plyometrics,,hamstrings,other,compound,beginner,plyometric
box skip,1,Box Skip,plyometrics,,hamstrings,other,compound,beginner,plyometric
box squat chains,1,Box Squat with Chains,strength,,quadriceps,barbell,compound,expert,compound
brachialis smr,1,Brachialis-SMR,stretching,,biceps,foam roll,,intermediate,mobility
bradford rocky presses,1,Bradford/Rocky Presses,strength,,shoulders,barbell,compound,beginner,compound
butt ups,1,Butt-Ups,strength,,abdominals,body only,compound,beginner,compound
butt lift bridge,1,Butt Lift (Bridge),strength,,glutes,body only,isolation,beginner,isolation
butterfly,1,Butterfly,strength,,chest,machine,isolation,beginner,isolation
deadlifts,1,Cable Deadlifts,strength,,quadriceps,cable,compound,beginner,compound
hammer curls attachment,1,Cable Hammer Curls - Rope Attachment,strength,,biceps,cable,isolation,beginner,isolation
incline pushdown,1,Cable Incline Pushdown,strength,,lats,cable,isolation,beginner,isolation
judo flip,1,Cable Judo Flip,strength,,abdominals,cable,compound,beginner,compound
tricep extension,1,Cable One Arm Tricep Extension,strength,,triceps,cable,isolation,beginner,isolation
rear delt rows,1,Cable Rope Rear-Delt Rows,strength,,shoulders,cable,compound,beginner,compound
russian twists,1,Cable Russian Twists,strength,Russian Twist,abdominals,cable,compound,beginner,compound
calf shoulder shrug,1,Calf-Machine Shoulder Shrug,strength,,traps,machine,isolation,beginner,isolation
calf press,1,Calf Press,strength,,calves,machine,isolation,beginner,isolation
calf press press,1,Calf Press On The Leg Press Machine,strength,,calves,machine,isolation,beginner,isolation
calf stretch elbows against wall,1,Calf Stretch Elbows Against Wall,stretching,,calves,,isolation,beginner,mobility
calf stretch hands against wall,1,Calf Stretch Hands Against Wall,stretching,,calves,,isolation,beginner,mobility
calves smr,1,Calves-SMR,stretching,,calves,foam roll,,intermediate,mobility
car drivers,1,Car Drivers,strength,,shoulders,barbell,isolation,beginner,isolation
carioca quick step,1,Carioca Quick Step,plyometrics,,adductors,,,beginner,plyometric
cat stretch,1,Cat Stretch,stretching,,lower back,,,beginner,mobility
catch overhead throw,1,Catch and Overhead Throw,plyometrics,,lats,medicine ball,compound,beginner,plyometric
chain handle extension,1,Chain Handle Extension,powerlifting,,triceps,other,isolation,intermediate,isolation
chain press,1,Chain Press,powerlifting,,chest,other,compound,intermediate,compound
chair extended stretch,1,Chair Leg Extended Stretch,stretching,,hamstrings,other,isolation,beginner,mobility
chair lower back stretch,1,Chair Lower Back Stretch,stretching,,lats,,isolation,beginner,mobility
chair squat,1,Chair Squat,strength,,quadriceps,machine,compound,beginner,compound
chair upper stretch,1,Chair Upper Body Stretch,stretching,,shoulders,other,,beginner,mobility
chest front shoulder stretch,1,Chest And Front Of Shoulder Stretch,stretching,,chest,other,isolation,beginner,mobility
chest push from 3 point stance,1,Chest Push from 3 point stance,plyometrics,,chest,medicine ball,compound,beginner,plyometric
chest push multiple response,1,Chest Push (multiple response),plyometrics,,chest,medicine ball,compound,beginner,plyometric
chest push response,1,Chest Push (single response),plyometrics,,chest,medicine ball,compound,beginner,plyometric
chest push run release,1,Chest Push with Run Release,plyometrics,,chest,medicine ball,compound,beginner,plyometric
chest stretch stability ball,1,Chest Stretch on Stability Ball,stretching,,chest,exercise ball,isolation,beginner,mobility
child s pose,1,Child's Pose,stretching,,lower back,,,beginner,mobility
chin chest stretch,1,Chin To Chest Stretch,stretching,,neck,,,beginner,mobility
circus bell,1,Circus Bell,strongman,,shoulders,other,compound,expert,compound
clean deadlift,1,Clean Deadlift,olympic weightlifting,,hamstrings,barbell,compound,beginner,compound
clean pull,1,Clean Pull,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
clean shrug,1,Clean Shrug,olympic weightlifting,,traps,barbell,compound,beginner,compound
clean press,1,Clean and Press,strength,,shoulders,barbell,compound,intermediate,compound
clean from blocks,1,Clean from Blocks,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
clock push up,1,Clock Push-Up,strength,,chest,body only,compound,intermediate,compound
bar press,1,Close-Grip EZ-Bar Press,strength,,triceps,e-z curl bar,compound,beginner,compound
front lat pulldown,1,Close-Grip Front Lat Pulldown,strength,,lats,cable,compound,beginner,compound
push up off,1,Close-Grip Push-Up off of a Dumbbell,strength,,triceps,body only,compound,intermediate,compound
cocoons,1,Cocoons,strength,,abdominals,body only,compound,beginner,compound
conan s wheel,1,Conan's Wheel,strongman,,quadriceps,other,compound,intermediate,compound
concentration curls,1,Concentration Curls,strength,Concentration Curl,biceps,dumbbell,isolation,beginner,isolation
cross crunch,1,Cross-Body Crunch,strength,,abdominals,body only,compound,beginner,compound
cross hammer curl,1,Cross Body Hammer Curl,strength,,biceps,dumbbell,isolation,beginner,isolation
cross,1,Cross Over - With Bands,strength,,chest,bands,compound,beginner,compound
crossover reverse lunge,1,Crossover Reverse Lunge,stretching,,lower back,,,intermediate,mobility
crucifix,1,Crucifix,strongman,,shoulders,other,isolation,beginner,isolation
crunch hands overhead,1,Crunch - Hands Overhead,strength,,abdominals,body only,isolation,beginner,isolation
crunch exercise ball,1,Crunch - Legs On Exercise Ball,strength,,abdominals,body only,isolation,beginner,isolation
cuban press,1,Cuban Press,strength,,shoulders,dumbbell,compound,intermediate,compound
dancer s stretch,1,Dancer's Stretch,stretching,,lower back,,,beginner,mobility
deadlift chains,1,Deadlift with Chains,powerlifting,,lower back,barbell,compound,expert,compound
decline bench skull crusher,1,Decline Close-Grip Bench To Skull Crusher,strength,,triceps,barbell,compound,intermediate,compound
decline crunch,1,Decline Crunch,strength,,abdominals,body only,isolation,intermediate,isolation
decline flyes,1,Decline Dumbbell Flyes,strength,,chest,dumbbell,compound,beginner,compound
decline triceps extension,1,Decline Dumbbell Triceps Extension,strength,,triceps,dumbbell,isolation,beginner,isolation
decline bar triceps extension,1,Decline EZ Bar Triceps Extension,strength,,triceps,barbell,isolation,beginner,isolation
decline oblique crunch,1,Decline Oblique Crunch,strength,,abdominals,body only,compound,beginner,compound
decline push up,1,Decline Push-Up,strength,,chest,,compound,beginner,compound
decline reverse crunch,1,Decline Reverse Crunch,strength,,abdominals,body only,compound,beginner,compound
deficit deadlift,1,Deficit Deadlift,powerlifting,,lower back,barbell,compound,intermediate,compound
depth jump leap,1,Depth Jump Leap,plyometrics,,quadriceps,other,compound,beginner,plyometric
dips chest version,1,Dips - Chest Version,strength,,chest,other,compound,intermediate,compound
dips triceps version,1,Dips - Triceps Version,strength,,triceps,body only,compound,beginner,compound
donkey calf raises,1,Donkey Calf Raises,strength,,calves,other,isolation,intermediate,isolation
double hang clean,1,Double Kettlebell Alternating Hang Clean,strength,Hang Clean,hamstrings,kettlebells,compound,intermediate,compound
double jerk,1,Double Kettlebell Jerk,strength,,shoulders,kettlebells,compound,intermediate,compound
double push press,1,Double Kettlebell Push Press,strength,,shoulders,kettlebells,compound,intermediate,compound
double snatch,1,Double Kettlebell Snatch,strength,,shoulders,kettlebells,compound,expert,compound
double windmill,1,Double Kettlebell Windmill,strength,,abdominals,kettlebells,,intermediate,MANUELL
double butt kick,1,Double Leg Butt Kick,plyometrics,,quadriceps,body only,compound,beginner,plyometric
downward facing balance,1,Downward Facing Balance,strength,,glutes,exercise ball,isolation,intermediate,isolation
drag curl,1,Drag Curl,strength,,biceps,barbell,compound,intermediate,compound
drop push,1,Drop Push,plyometrics,,chest,other,compound,intermediate,plyometric
incline row,1,Dumbbell Incline Row,strength,,middle back,dumbbell,compound,beginner,compound
pronation,1,Dumbbell Lying Pronation,strength,,forearms,dumbbell,isolation,intermediate,isolation
supination,1,Dumbbell Lying Supination,strength,,forearms,dumbbell,isolation,intermediate,isolation
prone incline curl,1,Dumbbell Prone Incline Curl,strength,,biceps,dumbbell,isolation,intermediate,isolation
rear lunge,1,Dumbbell Rear Lunge,strength,,quadriceps,dumbbell,compound,intermediate,compound
tricep extension pronated,1,Dumbbell Tricep Extension -Pronated Grip,strength,,triceps,dumbbell,isolation,beginner,isolation
dynamic back stretch,1,Dynamic Back Stretch,stretching,,lats,,,beginner,mobility
dynamic chest stretch,1,Dynamic Chest Stretch,stretching,,chest,,,beginner,mobility
bar skullcrusher,1,EZ-Bar Skullcrusher,strength,,triceps,e-z curl bar,isolation,beginner,isolation
elbow circles,1,Elbow Circles,stretching,,shoulders,,isolation,beginner,mobility
elbow knee,1,Elbow to Knee,strength,,abdominals,body only,compound,beginner,compound
elbows back,1,Elbows Back,stretching,,chest,,isolation,beginner,mobility
elevated back lunge,1,Elevated Back Lunge,strength,,quadriceps,barbell,compound,intermediate,compound
elevated rows,1,Elevated Cable Rows,strength,,lats,cable,compound,intermediate,compound
elliptical trainer,1,Elliptical Trainer,cardio,,quadriceps,machine,,intermediate,cardio
exercise ball crunch,1,Exercise Ball Crunch,strength,,abdominals,exercise ball,isolation,beginner,isolation
exercise ball pull in,1,Exercise Ball Pull-In,strength,,abdominals,exercise ball,compound,beginner,compound
extended range press,1,Extended Range One-Arm Kettlebell Floor Press,strength,,chest,kettlebells,compound,beginner,compound
farmer s walk,1,Farmer's Walk,strongman,Farmer's Walk,forearms,other,compound,intermediate,compound
fast skipping,1,Fast Skipping,plyometrics,,quadriceps,body only,compound,beginner,plyometric
finger curls,1,Finger Curls,strength,,forearms,barbell,isolation,beginner,isolation
flat bench flyes,1,Flat Bench Cable Flyes,strength,,chest,cable,isolation,intermediate,isolation
flat bench raise,1,Flat Bench Lying Leg Raise,strength,,abdominals,body only,isolation,beginner,isolation
press chains,1,Floor Press with Chains,powerlifting,,triceps,barbell,compound,intermediate,compound
flutter kicks,1,Flutter Kicks,strength,,glutes,body only,compound,beginner,compound
foot smr,1,Foot-SMR,stretching,,calves,other,,intermediate,mobility
forward drag press,1,Forward Drag with Press,strongman,,chest,other,compound,intermediate,compound
frankenstein squat,1,Frankenstein Squat,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
freehand jump squat,1,Freehand Jump Squat,strength,,quadriceps,body only,compound,intermediate,compound
frog hops,1,Frog Hops,stretching,,quadriceps,,compound,intermediate,mobility
frog sit ups,1,Frog Sit-Ups,strength,,abdominals,body only,isolation,intermediate,isolation
front squat bench,1,Front Barbell Squat To A Bench,strength,,quadriceps,barbell,compound,expert,compound
front box jump,1,Front Box Jump,plyometrics,,hamstrings,other,compound,beginner,plyometric
front cone hops or hurdle hops,1,Front Cone Hops (or hurdle hops),plyometrics,,quadriceps,other,compound,beginner,plyometric
front incline raise,1,Front Incline Dumbbell Raise,strength,,shoulders,dumbbell,isolation,beginner,isolation
front raises,1,Front Leg Raises,stretching,,hamstrings,body only,,beginner,mobility
front raise pullover,1,Front Raise And Pullover,strength,,chest,barbell,compound,beginner,compound
front squat clean,1,Front Squat (Clean Grip),strength,,quadriceps,barbell,compound,intermediate,compound
front squats kettlebells,1,Front Squats With Two Kettlebells,strength,,quadriceps,kettlebells,compound,intermediate,compound
range motion lat pulldown,1,Full Range-Of-Motion Lat Pulldown,strength,,lats,cable,compound,intermediate,compound
gironda sternum chins,1,Gironda Sternum Chins,strength,,lats,other,compound,intermediate,compound
glute kickback,1,Glute Kickback,strength,,glutes,body only,compound,beginner,compound
good morning off pins,1,Good Morning off Pins,powerlifting,,hamstrings,barbell,compound,intermediate,compound
gorilla chin crunch,1,Gorilla Chin/Crunch,strength,,abdominals,body only,compound,intermediate,compound
groin back stretch,1,Groin and Back Stretch,stretching,,adductors,,compound,intermediate,mobility
groiners,1,Groiners,stretching,,adductors,body only,compound,intermediate,mobility
hammer incline bench press,1,Hammer Grip Incline DB Bench Press,strength,,chest,dumbbell,compound,beginner,compound
hamstring smr,1,Hamstring-SMR,stretching,,hamstrings,foam roll,isolation,beginner,mobility
handstand push ups,1,Handstand Push-Ups,strength,,shoulders,body only,compound,expert,compound
hang clean below knees,1,Hang Clean - Below the Knees,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
hang snatch,1,Hang Snatch,olympic weightlifting,,hamstrings,barbell,compound,expert,compound
hang snatch below knees,1,Hang Snatch - Below Knees,olympic weightlifting,,hamstrings,barbell,compound,expert,compound
hanging bar good morning,1,Hanging Bar Good Morning,powerlifting,,hamstrings,barbell,compound,intermediate,compound
hanging pike,1,Hanging Pike,strength,,abdominals,body only,compound,expert,compound
heaving snatch balance,1,Heaving Snatch Balance,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
heavy bag thrust,1,Heavy Bag Thrust,plyometrics,,chest,other,compound,beginner,plyometric
curls,1,High Cable Curls,strength,,biceps,cable,compound,intermediate,compound
hip circles prone,1,Hip Circles (prone),stretching,,abductors,body only,isolation,beginner,mobility
hip extension,1,Hip Extension with Bands,strength,,glutes,bands,compound,beginner,compound
hip flexion,1,Hip Flexion with Band,strength,,quadriceps,bands,compound,beginner,compound
hip lift,1,Hip Lift with Band,powerlifting,,glutes,bands,compound,beginner,compound
hug ball,1,Hug A Ball,stretching,,lower back,exercise ball,isolation,beginner,mobility
hug knees chest,1,Hug Knees To Chest,stretching,,lower back,,,beginner,mobility
hurdle hops,1,Hurdle Hops,plyometrics,,hamstrings,other,compound,beginner,plyometric
hyperextensions no hyperextension bench,1,Hyperextensions With No Hyperextension Bench,strength,,lower back,body only,compound,intermediate,compound
it glute stretch,1,IT Band and Glute Stretch,stretching,,abductors,other,,intermediate,mobility
iliotibial tract smr,1,Iliotibial Tract-SMR,stretching,,abductors,foam roll,isolation,intermediate,mobility
inchworm,1,Inchworm,stretching,,hamstrings,body only,compound,beginner,mobility
incline bench pull,1,Incline Bench Pull,strength,,middle back,barbell,isolation,beginner,isolation
incline chest press,1,Incline Cable Chest Press,strength,,chest,cable,compound,beginner,compound
incline bench palms facing in,1,Incline Dumbbell Bench With Palms Facing In,strength,,chest,dumbbell,compound,beginner,compound
incline flyes twist,1,Incline Dumbbell Flyes - With A Twist,strength,,chest,dumbbell,compound,beginner,compound
incline hammer curls,1,Incline Hammer Curls,strength,,biceps,dumbbell,isolation,beginner,isolation
incline inner biceps curl,1,Incline Inner Biceps Curl,strength,,biceps,dumbbell,isolation,beginner,isolation
incline push up depth jump,1,Incline Push-Up Depth Jump,plyometrics,,chest,other,compound,beginner,plyometric
incline push up medium,1,Incline Push-Up Medium,strength,,chest,body only,compound,beginner,compound
incline push up reverse,1,Incline Push-Up Reverse Grip,strength,,chest,body only,compound,beginner,compound
